
date,nav
24-07-2014,11.10660
23-07-2014,11.10120
22-07-2014,11.09620
21-07-2014,11.09040
18-07-2014,11.07980
17-07-2014,11.07710
16-07-2014,11.07420
15-07-2014,11.06690
14-07-2014,11.06380
11-07-2014,11.05750
10-07-2014,11.06900
09-07-2014,11.06560
08-07-2014,11.06710
07-07-2014,11.06570
04-07-2014,11.05490
03-07-2014,11.04940
02-07-2014,11.04760
30-06-2014,11.03650
27-06-2014,11.02850
26-06-2014,11.02880
25-06-2014,11.02490
24-06-2014,11.02310
23-06-2014,11.02110
20-06-2014,11.01510
19-06-2014,11.01180
18-06-2014,11.01390
17-06-2014,11.01400
16-06-2014,11.01130
13-06-2014,11.01120
12-06-2014,11.01200
11-06-2014,11.01020
10-06-2014,11.01080
09-06-2014,11.00220
06-06-2014,10.98800
05-06-2014,10.98870
04-06-2014,10.98500
03-06-2014,10.98020
02-06-2014,10.97490
30-05-2014,10.96890
29-05-2014,10.96620
28-05-2014,10.96320
27-05-2014,10.95660
26-05-2014,10.95200
23-05-2014,10.94800
22-05-2014,10.93800
21-05-2014,10.93330
20-05-2014,10.93090
19-05-2014,10.92620
16-05-2014,10.92150
15-05-2014,10.91610
13-05-2014,10.90920
12-05-2014,10.90390
09-05-2014,10.88780
08-05-2014,10.88060
07-05-2014,10.87340
06-05-2014,10.86970
05-05-2014,10.86530
02-05-2014,10.85470
30-04-2014,10.84660
29-04-2014,10.84170
28-04-2014,10.83770
25-04-2014,10.83250
23-04-2014,10.82590
22-04-2014,10.82530
21-04-2014,10.81870
17-04-2014,10.80800
16-04-2014,10.80300
15-04-2014,10.79700
11-04-2014,10.78450
10-04-2014,10.77980
09-04-2014,10.78030
07-04-2014,10.77730
04-04-2014,10.77020
03-04-2014,10.77080
02-04-2014,10.76580
28-03-2014,10.76130
27-03-2014,10.75070
26-03-2014,10.74700
25-03-2014,10.74770
24-03-2014,10.74520
21-03-2014,10.72910
20-03-2014,10.72100
19-03-2014,10.71660
18-03-2014,10.71330
14-03-2014,10.70100
13-03-2014,10.69890
12-03-2014,10.69350
11-03-2014,10.69140
10-03-2014,10.67920
07-03-2014,10.66750
06-03-2014,10.66140
05-03-2014,10.65500
04-03-2014,10.65010
03-03-2014,10.64820
28-02-2014,10.63970
26-02-2014,10.63470
25-02-2014,10.63390
24-02-2014,10.63300
21-02-2014,10.62290
20-02-2014,10.61990
18-02-2014,10.61060
17-02-2014,10.61070
14-02-2014,10.59960
13-02-2014,10.60270
12-02-2014,10.60490
11-02-2014,10.60830
10-02-2014,10.61000
07-02-2014,10.60130
06-02-2014,10.59750
05-02-2014,10.59240
04-02-2014,10.58500
03-02-2014,10.57420
31-01-2014,10.56550
30-01-2014,10.56920
29-01-2014,10.57750
28-01-2014,10.57420
27-01-2014,10.58700
24-01-2014,10.57960
23-01-2014,10.58150
22-01-2014,10.57860
21-01-2014,10.58190
20-01-2014,10.57720
17-01-2014,10.56980
16-01-2014,10.56620
15-01-2014,10.56140
13-01-2014,10.54950
10-01-2014,10.54000
09-01-2014,10.53460
08-01-2014,10.53690
07-01-2014,10.53780
06-01-2014,10.53470
03-01-2014,10.52320
02-01-2014,10.52100
01-01-2014,10.51200
31-12-2013,10.50670
30-12-2013,10.50350
27-12-2013,10.49550
26-12-2013,10.49550
24-12-2013,10.48850
23-12-2013,10.48850
20-12-2013,10.47990
19-12-2013,10.48370
18-12-2013,10.48370
17-12-2013,10.46950
16-12-2013,10.46800
13-12-2013,10.46000
12-12-2013,10.46650
11-12-2013,10.45670
10-12-2013,10.45690
09-12-2013,10.45410
06-12-2013,10.45090
05-12-2013,10.45120
04-12-2013,10.43730
03-12-2013,10.42990
02-12-2013,10.42730
29-11-2013,10.41780
28-11-2013,10.41620
27-11-2013,10.40700
26-11-2013,10.39700
25-11-2013,10.39690
22-11-2013,10.38740
21-11-2013,10.37980
20-11-2013,10.37660
19-11-2013,10.37120
18-11-2013,10.35670
14-11-2013,10.34310
13-11-2013,10.34250
12-11-2013,10.35170
11-11-2013,10.35740
08-11-2013,10.36880
07-11-2013,10.37180
06-11-2013,10.37760
05-11-2013,10.37770
01-11-2013,10.36660
31-10-2013,10.36620
30-10-2013,10.36440
29-10-2013,10.36120
28-10-2013,10.35220
25-10-2013,10.34450
24-10-2013,10.34640
23-10-2013,10.34570
22-10-2013,10.34350
21-10-2013,10.33870
18-10-2013,10.32710
17-10-2013,10.31650
15-10-2013,10.30570
14-10-2013,10.31940
11-10-2013,10.31560
10-10-2013,10.31750
09-10-2013,10.31770
08-10-2013,10.31890
07-10-2013,10.28690
04-10-2013,10.27540
03-10-2013,10.24830
01-10-2013,10.23600
30-09-2013,10.22750
27-09-2013,10.22070
26-09-2013,10.21600
25-09-2013,10.19990
24-09-2013,10.18730
23-09-2013,10.19690
20-09-2013,10.18780
19-09-2013,10.20180
18-09-2013,10.18350
17-09-2013,10.16170
16-09-2013,10.16140
13-09-2013,10.13390
12-09-2013,10.12990
11-09-2013,10.12660
10-09-2013,10.13650
06-09-2013,10.12390
05-09-2013,10.10920
04-09-2013,10.07840
03-09-2013,10.05910
02-09-2013,10.05300
30-08-2013,10.01770
